"filename", "language", "JavaScript", "JSON", "Markdown", "Excel", "HTML", "CSS", "Log", "XML", "comment", "blank", "total"
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\README.md", "Markdown", 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\app.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 28, 13, 160
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\conf\db.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 13, 1, 25
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\dao\exceltt.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 5, 2, 40
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\dao\userDao.js", "JavaScript", 4441, 0, 0, 0, 0, 0, 0, 0, 343, 73, 4857
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\dao\userSqlMapping.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 84, 31, 196
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\illustration\DB设计20200213.xlsx", "Excel", 0, 0, 0, 1160, 0, 0, 0, 0, 0, 9, 1169
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\jq\jquery.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 38, 9, 107
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\logFile._2020-04-27.log", "Log", 0, 0, 0, 0, 0, 0, 1769, 0, 0, 1, 1770
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\logFile._2020-04-28.log", "Log", 0, 0, 0, 0, 0, 0, 460, 0, 0, 1, 461
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\logFile_error._2020-04-26.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\logFile_error._2020-04-27.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\logFile_error._2020-04-28.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\timeLogFile._2020-04-26.log", "Log", 0, 0, 0, 0, 0, 0, 246, 0, 0, 1, 247
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\timeLogFile._2020-04-27.log", "Log", 0, 0, 0, 0, 0, 0, 1742, 0, 0, 1, 1743
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\logs\log\timeLogFile._2020-04-28.log", "Log", 0, 0, 0, 0, 0, 0, 453, 0, 0, 1, 454
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\package-lock.json", "JSON", 0, 2028, 0, 0, 0, 0, 0, 0, 0, 1, 2029
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\clearInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 71
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\corpInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 75
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\coursePlansTemplate4Excel.xlsx", "Excel", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 70
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\groupInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 75, 0, 0, 0, 0, 0, 1, 76
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\orderInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 71
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\productListTemplate4Excel.xlsx", "Excel", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 74
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\scholarshipInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 78, 0, 0, 0, 0, 0, 1, 79
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\stockInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 70
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\stuInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 67
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\subOrderInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 70
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\excelTemplates4downLoad\subStockInfoTemplate4Excel.xlsx", "Excel", 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 73
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\images\index\u58.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\images\index\u58_selected.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TallOrdersAdmin.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 48, 2, 58
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TchangePasswordOK.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 5, 2, 17
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TclearInfoAdmin.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 39, 5, 98
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TcorpInfoAdmin.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 64, 5, 104
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TcoursePlansAdmin.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 1, 4, 58
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TcreatOrdersInBatches_CPro.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 19, 9, 121
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TcreatOrdersInBatches_CStu.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 32, 8, 131
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TcreatOrdersInBatches_Pconfirm.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 95, 26, 261
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TcreatOrdersInBatches_Sconfirm.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 9, 14, 160
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TcreatOrdersInBatches_Window.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 18, 20, 228
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\public\javascripts\TgroupInfoAdmin.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 28, 4, 63
